FIPS,County,State,percent_medicalDebt,percent_uninsured,percent_poverty,percent_chronic,percent_live_births,percent_65,medicare_spending,average_income
55049,Iowa County,Wisconsin,8.1,3.7,8.8,9.6,6.5,18.0,"7,114","81,477"
46033,Custer County,South Dakota,2.7,9.3,13.8,9.6,7.6,29.0,"7,536","73,793"
35039,Rio Arriba County,New Mexico,20.7,9.1,24.0,9.6,11.8,18.7,"6,768","57,304"
31179,Wayne County,Nebraska,3.9,3.6,12.2,9.6,5.5,15.5,"8,490","69,654"
51091,Highland County,Virginia,6.9,10.8,10.1,9.7,,38.9,"8,292","63,998"
35027,Lincoln County,New Mexico,20.0,10.5,10.6,9.7,9.1,28.1,"7,351","66,092"
41017,Deschutes County,Oregon,5.3,7.6,10.8,9.7,6.7,19.6,"7,359","86,719"
4005,Coconino County,Arizona,15.6,11.2,17.6,9.7,7.9,12.0,"7,881","77,638"
46123,Tripp County,South Dakota,2.8,6.7,19.5,9.7,7.7,22.2,"9,081","64,130"
49027,Millard County,Utah,15.1,13.5,12.6,9.7,7.4,16.7,"8,210","75,015"
30047,Lake County,Montana,11.4,14.2,19.4,9.7,8.4,21.4,"8,422","63,517"
50013,Grand Isle County,Vermont,3.8,3.6,7.5,9.7,4.8,20.0,"6,643","92,902"
38023,Divide County,North Dakota,1.5,10.2,9.0,9.7,,26.6,"10,773","88,558"
31095,Jefferson County,Nebraska,5.8,5.6,11.2,9.8,6.6,23.6,"9,452","57,938"
55025,Dane County,Wisconsin,5.3,3.9,10.9,9.8,7.0,13.2,"7,257","96,542"
8055,Huerfano County,Colorado,14.6,9.6,15.8,9.8,9.2,31.2,"7,453","50,466"
38095,Towner County,North Dakota,4.9,11.7,10.4,9.8,,22.6,"10,422","77,897"
8021,Conejos County,Colorado,8.5,10.5,21.7,9.8,11.3,18.6,"8,441","50,114"
8121,Washington County,Colorado,18.1,4.7,11.8,9.8,7.3,20.1,"7,936","66,293"
19167,Sioux County,Iowa,4.1,4.2,6.3,9.8,5.0,15.2,"8,990","82,322"
27001,Aitkin County,Minnesota,1.5,4.1,12.2,9.8,4.9,32.5,"7,981","62,069"
31031,Cherry County,Nebraska,4.6,5.9,7.8,9.8,6.6,20.7,"9,324","67,218"
55021,Columbia County,Wisconsin,9.1,4.9,7.1,9.8,6.1,17.4,"7,478","83,215"
19177,Van Buren County,Iowa,12.1,11.8,12.8,9.9,3.7,22.1,"10,170","65,542"
27039,Dodge County,Minnesota,1.6,4.4,5.1,9.9,5.4,14.4,"7,909","90,314"
27023,Chippewa County,Minnesota,1.9,7.8,9.3,9.9,5.2,20.9,"9,504","70,772"
46075,Jones County,South Dakota,,15.0,12.4,9.9,,23.1,"7,643","55,466"
2020,Anchorage Municipality,Alaska,15.5,11.2,9.0,9.9,6.4,10.5,"7,520","109,988"
56043,Washakie County,Wyoming,13.0,15.0,10.5,9.9,7.8,21.1,"9,764","65,496"
46105,Perkins County,South Dakota,5.0,8.9,9.2,9.9,6.2,24.0,"7,356","75,636"
50017,Orange County,Vermont,3.5,4.8,9.7,9.9,7.4,20.5,"7,957","73,330"
53059,Skamania County,Washington,6.2,4.0,12.8,9.9,6.6,19.9,"7,271","77,041"
19157,Poweshiek County,Iowa,10.7,5.7,9.9,10.0,6.9,20.2,"8,116","74,234"
16045,Gem County,Idaho,15.3,17.3,17.0,10.0,7.9,21.2,"8,004","57,326"
27129,Renville County,Minnesota,3.9,5.5,10.0,10.0,7.9,20.5,"9,774","73,001"
32029,Storey County,Nevada,19.5,10.1,8.2,10.0,,28.6,"7,915","92,393"
19005,Allamakee County,Iowa,16.4,7.6,11.0,10.0,5.2,22.3,"7,693","65,543"
30021,Dawson County,Montana,15.5,4.1,11.1,10.0,6.6,18.6,"7,921","72,049"
30087,Rosebud County,Montana,17.2,18.8,17.0,10.0,8.6,14.8,"9,020","68,763"
6087,Santa Cruz County,California,6.4,5.1,13.1,10.1,5.8,15.8,"7,224","115,265"
38039,Griggs County,North Dakota,6.7,2.3,7.9,10.1,,29.7,"8,601","75,426"
35043,Sandoval County,New Mexico,16.1,8.8,12.7,10.1,9.5,17.1,"7,743","79,179"
50007,Chittenden County,Vermont,2.6,3.1,12.1,10.1,6.4,14.6,"7,134","94,925"
20143,Ottawa County,Kansas,21.3,6.2,9.9,10.1,5.8,19.9,"9,902","70,565"
49029,Morgan County,Utah,3.1,5.9,2.8,10.1,6.9,11.4,"9,412","110,246"
32013,Humboldt County,Nevada,20.2,12.1,13.3,10.2,7.5,13.4,"8,058","84,751"
20045,Douglas County,Kansas,12.1,7.1,18.0,10.2,7.1,11.8,"8,514","80,284"
41013,Crook County,Oregon,6.4,7.0,13.5,10.2,7.1,24.8,"7,773","64,440"
27149,Stevens County,Minnesota,1.9,2.2,12.4,10.2,5.2,16.8,"11,541","84,607"
50027,Windsor County,Vermont,7.5,4.8,9.2,10.2,7.4,22.7,"8,312","80,880"
31039,Cuming County,Nebraska,3.9,7.5,6.9,10.2,5.3,21.7,"9,342","70,360"
27097,Morrison County,Minnesota,3.3,4.9,10.2,10.2,5.4,19.0,"7,982","72,207"
6105,Trinity County,California,12.4,10.5,19.0,10.2,6.2,26.9,"7,269","54,714"
16043,Fremont County,Idaho,10.9,12.0,13.0,10.2,6.4,17.0,"8,279","68,783"
33019,Sullivan County,New Hampshire,6.4,7.0,11.7,10.2,7.1,20.8,"8,277","78,324"
49009,Daggett County,Utah,,2.3,3.5,10.2,,12.6,"11,762","80,329"
56041,Uinta County,Wyoming,16.2,11.2,11.3,10.3,10.0,13.0,"7,766","74,938"
41021,Gilliam County,Oregon,5.6,7.0,10.4,10.3,11.2,25.3,"6,478","57,569"
2013,Aleutians East Borough,Alaska,,46.3,13.8,10.3,,9.4,"7,365","79,535"
8057,Jackson County,Colorado,,6.1,9.6,10.3,18.0,28.3,"7,639","64,192"
41015,Curry County,Oregon,5.2,6.1,12.4,10.3,5.9,33.7,"7,148","62,649"
35057,Torrance County,New Mexico,21.1,6.0,23.7,10.3,9.6,20.1,"6,772","50,947"
56001,Albany County,Wyoming,15.9,8.2,20.7,10.3,8.3,11.3,"7,479","68,577"
55043,Grant County,Wisconsin,11.1,6.2,15.2,10.3,5.8,16.9,"7,520","66,718"
2130,Ketchikan Gateway Borough,Alaska,6.8,11.4,9.6,10.3,6.9,14.9,"8,612","92,764"
8105,Rio Grande County,Colorado,12.4,10.8,17.0,10.3,11.7,19.4,"8,425","57,761"
33009,Grafton County,New Hampshire,5.5,7.1,9.6,10.3,6.7,20.0,"8,238","91,122"
8125,Yuma County,Colorado,13.6,9.0,14.0,10.3,6.6,18.2,"9,573","68,157"
55007,Bayfield County,Wisconsin,8.9,6.5,11.0,10.3,5.2,26.9,"7,885","69,327"
16031,Cassia County,Idaho,18.4,13.5,14.3,10.3,7.3,13.8,"8,219","66,145"
8071,Las Animas County,Colorado,25.0,8.5,18.5,10.3,10.3,23.7,"7,643","56,571"
6041,Marin County,California,5.4,3.5,7.2,10.3,5.9,21.6,"7,957","176,019"
25019,Nantucket County,Massachusetts,2.0,4.4,8.7,10.3,5.7,14.6,"7,807","147,953"
55093,Pierce County,Wisconsin,4.7,4.6,9.3,10.4,5.7,14.3,"8,289","87,038"
19131,Mitchell County,Iowa,13.0,6.0,6.9,10.4,5.1,21.7,"8,610","70,494"
27061,Itasca County,Minnesota,1.3,5.3,12.2,10.4,7.0,22.6,"8,499","69,888"
27045,Fillmore County,Minnesota,4.1,9.2,10.7,10.4,4.6,20.5,"7,505","74,416"
2185,North Slope Borough,Alaska,12.7,18.6,10.1,10.4,6.2,6.9,"14,530","94,169"
6063,Plumas County,California,12.7,3.1,12.1,10.4,9.3,27.1,"8,152","77,027"
27043,Faribault County,Minnesota,5.8,4.9,11.5,10.4,5.9,22.7,"9,073","66,870"
35023,Hidalgo County,New Mexico,19.4,4.2,25.8,10.4,13.3,21.2,"8,557","53,273"
16065,Madison County,Idaho,5.9,5.9,30.9,10.4,5.6,6.6,"8,610","54,512"
